SHORT_TERM_COUNT,MID_TERM_COUNT,LONG_TERM_COUNT,SHORT_TERM_COUNT_BANK,MID_TERM_COUNT_BANK,LONG_TERM_COUNT_BANK,SHORT_TERM_COUNT_NON_BANK,MID_TERM_COUNT_NON_BANK,LONG_TERM_COUNT_NON_BANK,NUMBER_OF_LOANS,NUMBER_OF_LOANS_BANK,NUMBER_OF_LOANS_NON_BANK,NUMBER_OF_CREDIT_CARDS,NUMBER_OF_CREDIT_CARDS_BANK,NUMBER_OF_CREDIT_CARDS_NON_BANK,NUMBER_OF_RELATIONSHIP,NUMBER_OF_RELATIONSHIP_BANK,NUMBER_OF_RELATIONSHIP_NON_BANK,NUM_NEW_LOAN_TAKEN_3M,NUM_NEW_LOAN_TAKEN_6M,NUM_NEW_LOAN_TAKEN_9M,NUM_NEW_LOAN_TAKEN_12M,NUM_NEW_LOAN_TAKEN_BANK_3M,NUM_NEW_LOAN_TAKEN_BANK_6M,NUM_NEW_LOAN_TAKEN_BANK_9M,NUM_NEW_LOAN_TAKEN_BANK_12M,NUM_NEW_LOAN_TAKEN_NON_BANK_3M,NUM_NEW_LOAN_TAKEN_NON_BANK_6M,NUM_NEW_LOAN_TAKEN_NON_BANK_9M,NUM_NEW_LOAN_TAKEN_NON_BANK_12M,OUTSTANDING_BAL_LOAN_CURRENT,OUTSTANDING_BAL_LOAN_3M,OUTSTANDING_BAL_LOAN_6M,OUTSTANDING_BAL_LOAN_9M,OUTSTANDING_BAL_LOAN_12M,OUTSTANDING_BAL_CC_3M,OUTSTANDING_BAL_CC_6M,OUTSTANDING_BAL_CC_9M,OUTSTANDING_BAL_CC_12M,OUTSTANDING_BAL_ALL_3M,OUTSTANDING_BAL_ALL_6M,OUTSTANDING_BAL_ALL_9M,OUTSTANDING_BAL_ALL_12M,OUTSTANDING_BAL_LOAN_3M_6M,OUTSTANDING_BAL_LOAN_6M_9M,OUTSTANDING_BAL_LOAN_9M_12M,OUTSTANDING_BAL_LOAN_6M_12M,OUTSTANDING_BAL_LOAN_3M_12M,OUTSTANDING_BAL_CC_3M_6M,OUTSTANDING_BAL_CC_6M_9M,OUTSTANDING_BAL_CC_9M_12M,OUTSTANDING_BAL_CC_6M_12M,OUTSTANDING_BAL_CC_3M_12M,OUTSTANDING_BAL_ALL_3M_6M,OUTSTANDING_BAL_ALL_6M_9M,OUTSTANDING_BAL_ALL_9M_12M,OUTSTANDING_BAL_ALL_6M_12M,OUTSTANDING_BAL_ALL_3M_12M,INCREASING_BAL_3M_LOAN,INCREASING_BAL_6M_LOAN,INCREASING_BAL_3M_CC,INCREASING_BAL_6M_CC,INCREASING_BAL_3M_ALL,INCREASING_BAL_6M_ALL,OUTSTANDING_BAL_CC_CURRENT,CREDIT_CARD_MONTH_SINCE_10DPD,CREDIT_CARD_MONTH_SINCE_30DPD,CREDIT_CARD_MONTH_SINCE_60DPD,CREDIT_CARD_MONTH_SINCE_90DPD,CREDIT_CARD_NUMBER_OF_LATE_PAYMENT,ENQUIRIES_3M,ENQUIRIES_6M,ENQUIRIES_9M,ENQUIRIES_12M,ENQUIRIES_FROM_BANK_3M,ENQUIRIES_FROM_NON_BANK_3M,ENQUIRIES_FOR_LOAN_3M,ENQUIRIES_FOR_CC_3M,ENQUIRIES_FROM_BANK_FOR_LOAN_3M,ENQUIRIES_FROM_NON_BANK_FOR_LOAN_3M,ENQUIRIES_FROM_BANK_FOR_CC_3M,ENQUIRIES_FROM_NON_BANK_FOR_CC_3M,ENQUIRIES_FROM_BANK_6M,ENQUIRIES_FROM_NON_BANK_6M,ENQUIRIES_FOR_LOAN_6M,ENQUIRIES_FOR_CC_6M,ENQUIRIES_FROM_BANK_FOR_LOAN_6M,ENQUIRIES_FROM_NON_BANK_FOR_LOAN_6M,ENQUIRIES_FROM_BANK_FOR_CC_6M,ENQUIRIES_FROM_NON_BANK_FOR_CC_6M,ENQUIRIES_FROM_BANK_9M,ENQUIRIES_FROM_NON_BANK_9M,ENQUIRIES_FOR_LOAN_9M,ENQUIRIES_FOR_CC_9M,ENQUIRIES_FROM_BANK_FOR_LOAN_9M,ENQUIRIES_FROM_NON_BANK_FOR_LOAN_9M,ENQUIRIES_FROM_BANK_FOR_CC_9M,ENQUIRIES_FROM_NON_BANK_FOR_CC_9M,ENQUIRIES_FROM_BANK_12M,ENQUIRIES_FROM_NON_BANK_12M,ENQUIRIES_FOR_LOAN_12M,ENQUIRIES_FOR_CC_12M,ENQUIRIES_FROM_BANK_FOR_LOAN_12M,ENQUIRIES_FROM_NON_BANK_FOR_LOAN_12M,ENQUIRIES_FROM_BANK_FOR_CC_12M,ENQUIRIES_FROM_NON_BANK_FOR_CC_12M,ENQUIRIES_3M_6M,ENQUIRIES_6M_9M,ENQUIRIES_9M_12M,ENQUIRIES_6M_12M,ENQUIRIES_3M_12M,ENQUIRIES_FROM_BANK_3M_6M,ENQUIRIES_FROM_BANK_6M_9M,ENQUIRIES_FROM_BANK_9M_12M,ENQUIRIES_FROM_BANK_6M_12M,ENQUIRIES_FROM_BANK_3M_12M,ENQUIRIES_FROM_NON_BANK_3M_6M,ENQUIRIES_FROM_NON_BANK_6M_9M,ENQUIRIES_FROM_NON_BANK_9M_12M,ENQUIRIES_FROM_NON_BANK_6M_12M,ENQUIRIES_FROM_NON_BANK_3M_12M,OUTSTANDING_BAL_ALL_CURRENT,y_pred_proba,y_pred,y_true
7.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,7.0,,4.0,4.0,4.0,1.0,10.0,7.0,4.0,4.0,7.0,7.0,7.0,4.0,7.0,7.0,,4.0,7.0,7.0,7.0,1000070.0,,1000001.667,1000001.111,,1000000.0,1000000.0,1000000.0,1000000.0,1000003.333,,1000001.111,1000000.833,1000020.0,1000015.0,1000013.333,1000020.0,1000040.0,999990.0,999990.0,999990.0,999990.0,999990.0,1000020.0,1000015.0,,1000020.0,1000040.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,431.0,431.0,431.0,431.0,1.0,7.0,7.0,7.0,7.0,2.0,7.0,7.0,2.0,2.0,7.0,2.0,2.0,2.0,,7.0,,2.0,7.0,2.0,2.0,2.0,,7.0,2.0,2.0,7.0,2.0,2.0,2.0,7.0,7.0,2.0,2.0,7.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,,,-3.0,-3.0,-3.0,7.0,,7.0,7.0,7.0,1000070.0,0.05946075759414499,0,0
10.0,1.0,1.0,1.0,,1.0,,,1.0,10.0,1.0,10.0,1.0,1.0,,,1.0,10.0,1.0,4.0,7.0,7.0,1.0,4.0,7.0,7.0,1.0,4.0,7.0,7.0,,1000126.667,1000148.333,1000136.667,1000105.833,,999990.0,999990.0,999990.0,1000126.667,1000148.333,1000136.667,1000105.833,1000008.539,1000010.854,1000012.913,1000014.016,1000011.969,999990.0,,999990.0,999990.0,999990.0,1000008.539,1000010.854,1000012.913,1000014.016,1000011.969,1000000.0,1000000.0,999990.0,999990.0,1000000.0,1000000.0,999990.0,431.0,431.0,431.0,,1.0,7.0,7.0,7.0,7.0,2.0,7.0,7.0,2.0,2.0,7.0,2.0,2.0,,7.0,7.0,2.0,,7.0,2.0,2.0,2.0,7.0,,,2.0,7.0,2.0,2.0,2.0,7.0,7.0,2.0,2.0,7.0,2.0,2.0,7.0,,7.0,7.0,7.0,-3.0,-3.0,-3.0,-3.0,-3.0,7.0,7.0,7.0,7.0,7.0,1000160.0,0.11505237670690857,0,0
4.0,4.0,1.0,4.0,4.0,1.0,1.0,,1.0,7.0,7.0,1.0,1.0,1.0,,7.0,7.0,1.0,4.0,7.0,7.0,7.0,4.0,7.0,,7.0,4.0,7.0,7.0,7.0,1000170.0,1000156.667,1000130.0,1000086.667,,999990.0,999990.0,999990.0,999990.0,1000156.667,1000130.0,1000086.667,,1000012.051,1000015.0,1000013.333,1000020.0,1000024.103,999990.0,999990.0,999990.0,999990.0,999990.0,1000012.051,1000015.0,,1000020.0,1000024.103,1000000.0,1000000.0,999990.0,999990.0,1000000.0,1000000.0,999990.0,431.0,431.0,,431.0,1.0,7.0,7.0,7.0,7.0,2.0,7.0,7.0,2.0,2.0,7.0,2.0,2.0,2.0,7.0,7.0,2.0,2.0,7.0,2.0,,2.0,7.0,7.0,2.0,2.0,7.0,2.0,2.0,2.0,7.0,7.0,2.0,2.0,7.0,,2.0,7.0,7.0,7.0,7.0,,-3.0,-3.0,-3.0,-3.0,-3.0,7.0,7.0,7.0,7.0,7.0,1000170.0,0.18974032245391695,0,0
7.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,7.0,4.0,4.0,4.0,4.0,,10.0,7.0,4.0,7.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1000100.0,1000050.0,1000048.333,1000054.444,1000050.0,1000003.333,1000001.667,1000001.111,1000000.833,1000053.333,1000050.0,1000055.556,1000050.833,1000010.345,1000008.878,1000010.889,1000009.667,1000010.0,1000020.0,1000015.0,1000013.333,1000020.0,1000040.0,1000010.667,,1000010.929,1000009.836,1000010.492,1000000.0,,,1000000.0,1000000.0,1000000.0,1000000.0,431.0,431.0,431.0,431.0,1.0,7.0,7.0,7.0,7.0,2.0,7.0,7.0,2.0,2.0,7.0,2.0,2.0,2.0,7.0,7.0,2.0,2.0,7.0,2.0,2.0,2.0,7.0,7.0,2.0,2.0,7.0,2.0,2.0,2.0,7.0,7.0,2.0,2.0,7.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,2.0,2.0,,7.0,7.0,7.0,7.0,1000100.0,0.11856359453530917,0,1
7.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,4.0,4.0,1.0,,,7.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,7.0,1000070.0,1000066.667,,1000053.333,1000047.5,999990.0,999990.0,999990.0,999990.0,1000066.667,1000060.0,1000053.333,1000047.5,1000011.111,,1000011.228,1000012.632,1000014.035,999990.0,999990.0,,999990.0,999990.0,1000011.111,,1000011.228,1000012.632,1000014.035,1000000.0,1000000.0,999990.0,999990.0,1000000.0,,999990.0,431.0,431.0,431.0,,1.0,7.0,7.0,,7.0,2.0,7.0,7.0,2.0,2.0,7.0,2.0,2.0,2.0,7.0,7.0,2.0,2.0,7.0,2.0,2.0,2.0,7.0,7.0,2.0,2.0,7.0,2.0,2.0,2.0,7.0,7.0,,2.0,7.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,-3.0,-3.0,-3.0,-3.0,-3.0,7.0,7.0,7.0,7.0,7.0,1000070.0,0.08495799793540294,0,0
4.0,1.0,1.0,,1.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0,4.0,4.0,1.0,,4.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1000040.0,1000046.667,1000076.667,1000102.222,1000107.5,1000000.0,1000000.0,,,1000046.667,1000076.667,1000102.222,1000107.5,1000006.087,1000007.5,1000009.509,1000007.132,,999990.0,999990.0,999990.0,999990.0,999990.0,1000006.087,1000007.5,1000009.509,1000007.132,1000004.341,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,431.0,431.0,431.0,431.0,1.0,7.0,7.0,7.0,7.0,2.0,7.0,7.0,2.0,2.0,7.0,2.0,2.0,2.0,7.0,7.0,2.0,2.0,7.0,2.0,2.0,2.0,,7.0,2.0,2.0,7.0,2.0,2.0,2.0,7.0,7.0,2.0,2.0,7.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,-3.0,,-3.0,-3.0,-3.0,7.0,7.0,7.0,7.0,7.0,1000040.0,0.08435757198713296,0,0
4.0,,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0,,1.0,,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1000230.0,,1000080.0,1000053.333,1000040.0,1000000.0,1000000.0,1000000.0,1000000.0,1000160.0,1000080.0,1000053.333,1000040.0,1000020.0,1000015.0,1000013.333,1000020.0,,,,1000000.0,1000000.0,1000000.0,1000020.0,1000015.0,1000013.333,1000020.0,,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,431.0,431.0,431.0,431.0,1.0,7.0,7.0,7.0,7.0,2.0,7.0,7.0,2.0,2.0,7.0,2.0,2.0,2.0,7.0,,2.0,2.0,7.0,,2.0,2.0,7.0,7.0,2.0,2.0,7.0,2.0,2.0,,7.0,,,2.0,7.0,2.0,2.0,7.0,7.0,,7.0,7.0,2.0,,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,,0.6489626318868488,1,0
,1.0,1.0,,1.0,,4.0,1.0,1.0,4.0,1.0,4.0,4.0,4.0,1.0,7.0,,4.0,4.0,4.0,4.0,4.0,,4.0,,4.0,4.0,4.0,4.0,4.0,1000050.0,1000033.333,1000021.667,1000026.667,1000031.667,1000016.667,,1000013.333,,1000050.0,1000036.667,1000040.0,1000043.333,1000015.385,1000008.125,1000008.421,1000006.842,1000010.526,1000011.111,1000011.25,1000011.429,1000012.857,,1000013.636,1000009.167,1000009.231,1000008.462,1000011.538,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,,1000030.0,431.0,431.0,431.0,431.0,1.0,12.0,,17.0,17.0,2.0,12.0,12.0,2.0,2.0,12.0,2.0,2.0,,17.0,17.0,,2.0,17.0,2.0,2.0,2.0,17.0,17.0,2.0,2.0,17.0,2.0,2.0,2.0,17.0,17.0,2.0,2.0,17.0,2.0,2.0,5.333333333,7.0,7.0,7.0,5.333333333,-3.0,-3.0,-3.0,-3.0,-3.0,5.333333333,7.0,7.0,7.0,5.333333333,,0.05627579178362906,0,0
7.0,1.0,,4.0,1.0,4.0,4.0,,1.0,10.0,7.0,4.0,1.0,,1.0,10.0,7.0,4.0,4.0,4.0,4.0,7.0,4.0,,4.0,7.0,,4.0,4.0,7.0,1005140.0,,1005178.333,1005221.111,1005268.333,1000000.0,1000000.0,1000000.0,1000000.0,1005163.333,1005178.333,,1005268.333,1000009.971,1000009.918,1000009.91,1000009.829,1000009.801,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000009.971,1000009.918,1000009.91,,1000009.801,1000010.0,,1000000.0,1000000.0,1000010.0,1000000.0,1000000.0,431.0,431.0,431.0,431.0,1.0,22.0,22.0,22.0,22.0,12.0,,17.0,7.0,7.0,12.0,7.0,2.0,12.0,12.0,17.0,,7.0,12.0,7.0,2.0,12.0,12.0,17.0,7.0,7.0,12.0,7.0,2.0,12.0,12.0,17.0,7.0,7.0,12.0,7.0,2.0,7.0,7.0,7.0,7.0,,,7.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,1005140.0,0.07401792643883097,0,0
1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,431.0,,431.0,431.0,1.0,7.0,7.0,7.0,7.0,2.0,7.0,7.0,2.0,2.0,7.0,2.0,2.0,,7.0,7.0,2.0,,,2.0,2.0,,7.0,7.0,2.0,2.0,,2.0,2.0,2.0,7.0,7.0,2.0,2.0,7.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,,7.0,7.0,,0.9063575127414576,1,1
7.0,10.0,1.0,4.0,4.0,1.0,4.0,7.0,1.0,16.0,7.0,10.0,4.0,1.0,4.0,19.0,7.0,13.0,,,10.0,13.0,7.0,7.0,10.0,13.0,7.0,,,13.0,1000750.0,1000490.0,1000613.333,1000657.778,1000693.333,1000103.333,1000135.0,1000150.0,1000160.833,1000593.333,1000748.333,1000807.778,,1000007.989,,1000009.487,1000008.846,1000007.067,1000007.654,1000009.0,1000009.326,1000008.394,1000006.425,1000007.929,1000009.264,1000009.457,1000008.761,1000006.946,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000150.0,431.0,431.0,431.0,431.0,1.0,7.0,17.0,17.0,17.0,2.0,7.0,7.0,,2.0,7.0,2.0,2.0,2.0,17.0,12.0,7.0,2.0,12.0,2.0,7.0,2.0,,12.0,7.0,2.0,12.0,2.0,7.0,2.0,17.0,12.0,7.0,2.0,12.0,2.0,7.0,3.666666667,7.0,7.0,7.0,3.666666667,-3.0,-3.0,-3.0,-3.0,-3.0,3.666666667,7.0,7.0,7.0,3.666666667,1000900.0,0.05235045687727899,0,0
7.0,4.0,,1.0,4.0,1.0,,1.0,1.0,10.0,4.0,7.0,7.0,4.0,4.0,,7.0,10.0,4.0,7.0,7.0,10.0,4.0,7.0,7.0,10.0,4.0,7.0,7.0,10.0,1000990.0,1000620.0,1000803.333,1000857.778,1000819.167,1000206.667,1000245.0,1000221.111,,1000826.667,1001048.333,1001078.889,1001003.333,1000007.718,,1000010.471,1000009.807,1000007.569,1000008.435,1000011.08,1000012.006,,,1000007.886,1000009.717,1000010.753,1000010.449,1000008.239,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000320.0,431.0,431.0,431.0,431.0,1.0,22.0,37.0,42.0,57.0,2.0,22.0,22.0,2.0,2.0,22.0,2.0,2.0,12.0,27.0,32.0,7.0,7.0,27.0,7.0,2.0,12.0,32.0,37.0,7.0,7.0,,7.0,2.0,22.0,37.0,52.0,7.0,,37.0,,,4.857142857,6.375,5.636363636,5.181818182,3.818181818,2.0,7.0,4.5,,2.0,,,6.285714286,5.571428571,4.857142857,1001310.0,0.08574369545084597,0,0
4.0,1.0,1.0,,1.0,1.0,4.0,1.0,1.0,4.0,,4.0,1.0,1.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,1000060.0,1000043.333,1000021.667,1000014.444,1000010.833,1000000.0,1000000.0,1000000.0,1000000.0,1000043.333,1000021.667,1000014.444,1000010.833,1000020.0,1000015.0,1000013.333,1000020.0,1000040.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000020.0,1000015.0,1000013.333,1000020.0,,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,431.0,431.0,431.0,431.0,,12.0,12.0,12.0,12.0,,7.0,12.0,2.0,7.0,7.0,2.0,2.0,7.0,7.0,12.0,2.0,7.0,7.0,2.0,2.0,,7.0,12.0,,7.0,7.0,2.0,,7.0,7.0,12.0,2.0,7.0,,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,7.0,1000060.0,0.24648815583131548,0,0
1.0,7.0,,,7.0,1.0,1.0,1.0,,,7.0,1.0,4.0,,1.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1001750.0,,1005076.667,1006226.667,1006835.833,1000066.667,1000070.0,1000075.556,1000067.5,1001836.667,1005146.667,1006302.222,1006903.333,1000003.487,,1000009.109,1000007.427,1000002.589,1000009.524,1000009.265,,1000010.37,1000009.877,,1000008.166,1000009.129,1000007.455,1000002.661,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000060.0,431.0,431.0,431.0,431.0,1.0,22.0,22.0,,27.0,17.0,7.0,17.0,7.0,12.0,7.0,7.0,2.0,17.0,7.0,,7.0,,7.0,7.0,,22.0,7.0,,7.0,17.0,7.0,7.0,2.0,22.0,7.0,22.0,7.0,,7.0,7.0,2.0,7.0,,,6.0,6.0,7.0,5.75,7.0,5.75,5.75,7.0,7.0,7.0,7.0,7.0,1001810.0,0.36849797374716015,0,0
13.0,1.0,1.0,4.0,1.0,1.0,10.0,1.0,1.0,13.0,4.0,10.0,1.0,1.0,1.0,13.0,4.0,10.0,7.0,10.0,10.0,10.0,,,10.0,10.0,7.0,10.0,10.0,10.0,1000260.0,1000250.0,1000201.667,1000134.444,1000100.833,999990.0,,999990.0,999990.0,1000250.0,1000201.667,1000134.444,1000100.833,,1000015.0,1000013.333,1000020.0,,999990.0,,999990.0,999990.0,999990.0,1000012.397,1000015.0,1000013.333,1000020.0,1000024.793,1000000.0,1000000.0,,999990.0,1000000.0,1000000.0,999990.0,431.0,,,431.0,1.0,7.0,7.0,7.0,7.0,2.0,7.0,7.0,2.0,2.0,7.0,2.0,2.0,2.0,7.0,7.0,2.0,2.0,7.0,2.0,2.0,,7.0,7.0,2.0,2.0,7.0,2.0,2.0,2.0,7.0,7.0,2.0,2.0,7.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,-3.0,-3.0,-3.0,-3.0,-3.0,7.0,7.0,,,7.0,1000260.0,0.06989184503402081,0,0
7.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,4.0,,4.0,4.0,1.0,10.0,7.0,4.0,4.0,4.0,7.0,7.0,4.0,4.0,,7.0,4.0,4.0,7.0,7.0,1000120.0,1000046.667,1000030.0,1000024.444,1000018.333,,1000000.0,1000000.0,,1000046.667,1000030.0,1000024.444,1000018.333,1000015.556,1000012.273,1000013.333,,,999990.0,999990.0,999990.0,,999990.0,1000015.556,,1000013.333,1000016.364,,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,431.0,431.0,431.0,431.0,,12.0,,12.0,12.0,2.0,12.0,12.0,2.0,,12.0,2.0,2.0,,12.0,12.0,2.0,2.0,,2.0,2.0,2.0,12.0,12.0,2.0,2.0,12.0,2.0,2.0,2.0,12.0,12.0,2.0,2.0,12.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,-3.0,-3.0,-3.0,-3.0,-3.0,7.0,7.0,7.0,7.0,7.0,1000120.0,0.04075191648830602,0,0
7.0,4.0,,4.0,1.0,,4.0,4.0,1.0,10.0,4.0,7.0,1.0,1.0,1.0,10.0,4.0,7.0,7.0,7.0,7.0,10.0,7.0,7.0,7.0,,7.0,7.0,7.0,10.0,,1000230.0,,1000090.0,1000067.5,1000000.0,1000000.0,1000000.0,1000000.0,1000230.0,1000125.0,1000090.0,1000067.5,1000018.4,1000013.889,1000013.333,1000018.519,1000034.074,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000018.4,1000013.889,1000013.333,1000018.519,1000034.074,1000000.0,,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,431.0,431.0,431.0,431.0,1.0,27.0,32.0,32.0,32.0,7.0,22.0,27.0,2.0,7.0,22.0,2.0,2.0,12.0,22.0,32.0,2.0,12.0,22.0,2.0,2.0,12.0,22.0,32.0,2.0,,22.0,2.0,2.0,12.0,22.0,32.0,2.0,,22.0,2.0,2.0,6.166666667,7.0,7.0,7.0,6.166666667,4.5,7.0,7.0,7.0,4.5,7.0,7.0,7.0,7.0,7.0,1000520.0,0.13292340184014592,0,0
7.0,1.0,1.0,1.0,1.0,1.0,,1.0,,7.0,1.0,7.0,1.0,1.0,1.0,7.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1000160.0,,1000045.0,1000124.444,,1000000.0,1000000.0,1000000.0,1000000.0,1000056.667,1000045.0,1000124.444,1000187.5,,1000003.616,1000006.637,1000002.4,1000003.022,,1000000.0,1000000.0,1000000.0,1000000.0,1000012.593,1000003.616,,1000002.4,1000003.022,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,431.0,431.0,431.0,431.0,1.0,12.0,12.0,17.0,17.0,2.0,12.0,12.0,2.0,2.0,12.0,2.0,2.0,2.0,12.0,12.0,2.0,2.0,12.0,2.0,2.0,2.0,17.0,17.0,2.0,2.0,17.0,2.0,2.0,2.0,17.0,17.0,2.0,2.0,17.0,2.0,2.0,7.0,5.333333333,7.0,5.333333333,5.333333333,2.0,2.0,2.0,2.0,2.0,7.0,5.333333333,7.0,5.333333333,5.333333333,1000160.0,0.4993281871608668,1,0
,1.0,1.0,,,1.0,4.0,1.0,1.0,,4.0,4.0,7.0,,1.0,13.0,10.0,4.0,4.0,7.0,7.0,7.0,,7.0,7.0,7.0,4.0,7.0,7.0,7.0,,1000040.0,1000050.0,1000062.222,1000063.333,1000463.333,1000456.667,,1000364.167,1000503.333,1000506.667,1000508.889,1000427.5,1000008.0,1000008.036,1000009.825,1000007.895,1000006.316,1000010.146,1000010.224,1000012.265,1000012.54,1000012.723,1000009.934,1000009.956,1000011.904,1000011.852,1000011.774,1000000.0,,1000000.0,1000000.0,1000000.0,1000000.0,,431.0,,431.0,431.0,,,27.0,,32.0,22.0,7.0,17.0,12.0,12.0,7.0,12.0,2.0,22.0,7.0,17.0,12.0,12.0,7.0,12.0,2.0,22.0,7.0,17.0,12.0,12.0,7.0,12.0,2.0,27.0,7.0,22.0,12.0,17.0,7.0,12.0,2.0,7.0,7.0,6.166666667,6.166666667,6.166666667,7.0,,6.0,6.0,6.0,,7.0,7.0,7.0,7.0,1000560.0,0.06436298005908883,0,0
4.0,10.0,1.0,1.0,1.0,1.0,4.0,10.0,1.0,13.0,1.0,13.0,4.0,1.0,4.0,16.0,1.0,,,7.0,7.0,7.0,1.0,,7.0,7.0,1.0,7.0,7.0,7.0,1000560.0,1000616.667,1000628.333,1000540.0,1000513.333,1000000.0,1000000.0,1000000.0,1000000.0,1000616.667,1000628.333,1000540.0,1000513.333,1000009.814,1000011.636,1000010.519,1000012.24,,999990.0,999990.0,999990.0,999990.0,999990.0,1000009.814,1000011.636,1000010.519,1000012.24,1000012.013,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,,431.0,431.0,431.0,431.0,,,17.0,17.0,17.0,2.0,7.0,7.0,2.0,2.0,7.0,2.0,2.0,2.0,17.0,17.0,2.0,2.0,17.0,2.0,2.0,2.0,17.0,17.0,2.0,2.0,17.0,2.0,2.0,2.0,17.0,17.0,2.0,2.0,17.0,2.0,2.0,3.666666667,7.0,7.0,7.0,3.666666667,,-3.0,-3.0,-3.0,-3.0,,7.0,7.0,7.0,3.666666667,1000560.0,0.09830399659181692,0,0
10.0,1.0,1.0,4.0,1.0,,7.0,1.0,1.0,,4.0,7.0,1.0,1.0,1.0,10.0,4.0,,1.0,1.0,7.0,10.0,1.0,1.0,7.0,10.0,1.0,1.0,7.0,10.0,1000060.0,1000063.333,,1000048.889,1000036.667,999990.0,999990.0,999990.0,,1000063.333,1000071.667,1000048.889,1000036.667,1000008.837,,1000013.333,1000019.545,1000017.273,999990.0,999990.0,999990.0,999990.0,999990.0,1000008.837,1000014.659,1000013.333,1000019.545,1000017.273,1000000.0,,999990.0,999990.0,1000000.0,1000000.0,999990.0,431.0,431.0,431.0,431.0,1.0,7.0,7.0,7.0,7.0,2.0,,7.0,2.0,2.0,7.0,2.0,2.0,2.0,7.0,7.0,2.0,2.0,7.0,2.0,2.0,2.0,7.0,7.0,,2.0,7.0,,2.0,2.0,,7.0,2.0,2.0,7.0,2.0,2.0,7.0,7.0,7.0,7.0,,-3.0,,,-3.0,-3.0,7.0,,7.0,7.0,7.0,,0.06485734041146991,0,0
